date,campaign_id,platform,impressions,clicks,spend,conversions,cpc,requires_human_review
2024-01-01,cmp_brand_001,google,12551,642,192.6,126,0.3,False
2024-01-01,cmp_retarget_002,meta,8681,900,1215.0,86,1.35,False
2024-01-01,cmp_prospecting_003,google,30874,3280,5936.8,732,1.81,False
2024-01-01,cmp_lookalike_004,meta,23178,2203,6697.12,83,3.04,False
2024-01-01,cmp_seasonal_005,google,22096,669,735.9,61,1.1,False
2024-01-02,cmp_brand_001,google,12455,214,466.52,55,2.18,False
2024-01-02,cmp_retarget_002,meta,7974,236,788.24,11,3.34,False
2024-01-02,cmp_prospecting_003,google,35419,3877,4613.63,334,1.19,False
2024-01-02,cmp_lookalike_004,meta,21525,608,231.04,126,0.38,False
2024-01-02,cmp_seasonal_005,google,22368,1420,2243.6,97,1.58,False
2024-01-03,cmp_brand_001,google,10671,833,1666.0,156,2.0,False
2024-01-03,cmp_retarget_002,meta,7859,419,1223.48,6,2.92,False
2024-01-03,cmp_lookalike_004,meta,21009,541,1141.51,84,2.11,False
2024-01-03,cmp_seasonal_005,google,23587,395,391.05,29,0.99,False
2024-01-04,cmp_brand_001,google,10772,1133,351.23,227,0.31,False
2024-01-04,cmp_retarget_002,meta,7736,743,2414.75,196,3.25,False
2024-01-04,cmp_prospecting_003,google,31743,2903,8679.97,195,2.99,False
2024-01-04,cmp_lookalike_004,meta,20542,1000,2680.0,32,2.68,False
2024-01-04,cmp_seasonal_005,google,21685,2038,3118.14,543,1.53,False
2024-01-05,cmp_brand_001,google,11391,400,1180.0,51,2.95,False
2024-01-05,cmp_retarget_002,meta,8642,92,282.44,9,3.07,False
2024-01-05,cmp_prospecting_003,google,29960,1292,1899.24,138,1.47,False
2024-01-05,cmp_lookalike_004,meta,20071,1221,3675.21,276,3.01,False
2024-01-05,cmp_seasonal_005,google,18996,852,2598.6,237,3.05,False
2024-01-06,cmp_brand_001,google,10017,474,255.96,96,0.54,False
2024-01-06,cmp_retarget_002,meta,9678,179,613.97,7,3.43,False
2024-01-06,cmp_prospecting_003,google,27169,356,590.96,21,1.66,False
2024-01-06,cmp_lookalike_004,meta,19280,1385,2493.0,360,1.8,False
2024-01-06,cmp_seasonal_005,google,20374,923,1993.68,97,2.16,False
2024-01-07,cmp_brand_001,google,10228,354,619.5,7,1.75,False
2024-01-07,cmp_retarget_002,meta,10383,228,114.0,4,0.5,False
2024-01-07,cmp_prospecting_003,google,28323,3340,5778.2,150,1.73,False
2024-01-07,cmp_lookalike_004,meta,21208,1456,3043.04,430,2.09,False
2024-01-07,cmp_seasonal_005,google,22671,1426,4049.84,364,2.84,False
