date,sessions,pageviews,funnel_step_1,funnel_step_2,funnel_step_3,conversion_events,source,requires_human_review
2024-01-01,2286,4921,1393,636,408,316.0,direct,False
2024-01-01,5134,8834,3257,2233,1299,1026.0,referral,False
2024-01-01,6276,17539,3249,1501,572,450.0,email,False
2024-01-01,3493,6052,1544,878,383,238.0,google_cpc,False
2024-01-02,1623,3584,1199,707,380,144.0,email,False
2024-01-02,4223,6681,2708,979,517,375.0,referral,False
2024-01-02,3670,8472,2579,1596,725,533.0,direct,False
2024-01-02,2643,3842,1102,597,191,141.0,google_cpc,False
2024-01-03,1316,2704,851,567,146,100.0,google_cpc,False
2024-01-03,6314,17745,3505,1748,1104,850.0,direct,False
2024-01-03,2782,7106,1346,835,226,89.0,organic_search,False
2024-01-03,3239,7726,2021,1289,759,579.0,referral,False
2024-01-04,1691,2698,1067,450,174,52.0,meta_cpc,False
2024-01-04,3386,9231,1491,565,262,204.0,direct,False
2024-01-04,5449,11836,3009,2080,936,512.0,organic_search,False
2024-01-04,4583,5394,2118,1316,724,258.0,google_cpc,False
2024-01-05,6074,9053,3706,1785,553,424.0,google_cpc,False
2024-01-05,6507,15733,3957,2765,1771,,email,False
2024-01-05,1558,1619,979,650,389,182.0,meta_cpc,False
2024-01-05,4146,8443,3016,2003,1131,,organic_search,False
2024-01-06,5450,15045,2821,1870,1181,428.0,referral,False
2024-01-06,7447,13735,3546,1532,693,231.0,meta_cpc,False
2024-01-06,1537,4537,625,309,114,49.0,direct,False
2024-01-06,4303,7831,2904,1294,685,404.0,organic_search,False
2024-01-07,6838,18895,3887,1413,858,645.0,organic_search,False
2024-01-07,3924,5493,2115,1412,602,398.0,google_cpc,False
2024-01-07,3819,5938,1820,1034,515,400.0,email,False
2024-01-07,4482,6203,2914,1857,511,154.0,direct,False
