date,campaign_id,platform,impressions,clicks,spend,conversions,cpc,requires_human_review
2024-01-01,cmp_brand_001,google,41880,2304,3156.48,483,1.37,False
2024-01-01,cmp_retarget_002,meta,25074,673,773.95,113,1.15,False
2024-01-01,cmp_prospecting_003,google,12542,866,805.38,151,0.93,False
2024-01-01,cmp_lookalike_004,meta,20353,715,950.95,195,1.33,False
2024-01-01,cmp_seasonal_005,google,44026,1400,4046.0,223,2.89,False
2024-01-02,cmp_brand_001,google,44184,4932,2564.64,983,0.52,False
2024-01-02,cmp_retarget_002,meta,23454,1597,1788.64,77,1.12,False
2024-01-02,cmp_prospecting_003,google,11481,951,608.64,6,0.64,False
2024-01-02,cmp_lookalike_004,meta,18148,986,266.22,263,0.27,False
2024-01-03,cmp_brand_001,google,45046,4395,12525.75,1134,2.85,False
2024-01-03,cmp_retarget_002,meta,24271,777,2253.3,11,2.9,False
2024-01-03,cmp_prospecting_003,google,12499,905,2488.75,152,2.75,False
2024-01-03,cmp_lookalike_004,meta,18389,1495,1495.0,257,1.0,False
2024-01-03,cmp_seasonal_005,google,40420,1483,4567.64,437,3.08,False
2024-01-04,cmp_brand_001,google,51547,3785,10900.8,585,2.88,False
2024-01-04,cmp_retarget_002,meta,22318,2237,1700.12,249,0.76,False
2024-01-04,cmp_prospecting_003,google,12299,931,2467.15,145,2.65,False
2024-01-04,cmp_lookalike_004,meta,16862,891,2601.72,109,2.92,False
2024-01-04,cmp_seasonal_005,google,34525,2502,3302.64,712,1.32,False
2024-01-05,cmp_brand_001,google,56117,6027,20190.45,1586,3.35,False
2024-01-05,cmp_retarget_002,meta,19847,1147,1135.53,115,0.99,False
2024-01-05,cmp_prospecting_003,google,13966,582,1559.76,140,2.68,False
2024-01-05,cmp_lookalike_004,meta,16302,996,2539.8,132,2.55,False
2024-01-05,cmp_seasonal_005,google,32077,1736,4478.88,339,2.58,False
2024-01-06,cmp_brand_001,google,51639,6051,3449.07,1342,0.57,False
2024-01-06,cmp_retarget_002,meta,18705,1152,2246.4,174,1.95,False
2024-01-06,cmp_prospecting_003,google,13365,766,2037.56,186,2.66,False
2024-01-06,cmp_lookalike_004,meta,16964,308,332.64,43,1.08,False
2024-01-06,cmp_seasonal_005,google,27352,1050,567.0,35,0.54,False
2024-01-06,cmp_prospecting_003,google,13365,766,2037.56,186,2.66,False
2024-01-07,cmp_brand_001,google,46341,1799,3202.22,469,1.78,False
2024-01-07,cmp_retarget_002,meta,19486,1322,449.48,276,0.34,False
2024-01-07,cmp_prospecting_003,google,12971,482,1190.54,24,2.47,False
2024-01-07,cmp_lookalike_004,meta,16093,1612,5561.4,230,3.45,False
2024-01-07,cmp_seasonal_005,google,29795,3063,8331.36,49,2.72,False
