date,sessions,pageviews,funnel_step_1,funnel_step_2,funnel_step_3,conversion_events,source,requires_human_review
2024-01-01,5874,12860,3516,2080,880,696,organic_search,False
2024-01-01,1285,1838,530,254,107,52,meta_cpc,False
2024-01-01,5405,10829,2228,855,243,94,google_cpc,False
2024-01-01,3083,3610,1855,574,320,170,email,False
2024-01-02,3598,4594,2383,1028,665,278,meta_cpc,False
2024-01-02,305,873,164,66,37,21,email,False
2024-01-02,6989,10845,3008,1572,694,295,referral,False
2024-01-02,1122,3211,745,481,126,55,organic_search,False
2024-01-03,2906,3518,2136,1144,741,533,email,False
2024-01-03,2143,3017,1394,810,281,167,referral,False
2024-01-03,2213,3262,1436,846,292,159,google_cpc,False
2024-01-03,6905,19730,4304,2681,1287,1011,organic_search,False
2024-01-04,7786,8214,5350,2755,832,308,referral,False
2024-01-04,2192,2844,1026,502,267,108,email,False
2024-01-04,4355,11099,3165,1779,895,389,meta_cpc,False
2024-01-04,7987,10149,5961,3897,1080,741,organic_search,False
2024-01-05,5986,8563,3435,1926,1181,483,meta_cpc,False
2024-01-05,1436,2621,962,349,91,32,referral,False
2024-01-05,6641,7237,4943,2527,1467,679,google_cpc,False
2024-01-05,931,2330,694,312,168,86,email,False
2024-01-06,1608,2197,898,322,96,31,email,False
2024-01-06,7449,13186,5121,3535,2137,1558,referral,False
2024-01-06,6394,8822,4180,2299,898,349,meta_cpc,False
2024-01-06,3001,3680,1756,769,271,187,organic_search,False
2024-01-07,4109,4319,2607,1694,760,388,referral,False
2024-01-07,1646,3441,1059,329,186,55,organic_search,False
2024-01-07,6604,10928,3149,2059,1019,772,meta_cpc,False
2024-01-07,6193,12762,3584,1705,689,385,google_cpc,False
