date,sessions,pageviews,funnel_step_1,funnel_step_2,funnel_step_3,conversion_events,source,requires_human_review
2024-01-01,6565,17483,4694,2452,1338,881,direct,False
2024-01-01,7995,12911,4689,1465,689,531,organic_search,False
2024-01-01,670,1351,325,140,73,22,meta_cpc,False
2024-01-01,5219,10015,3672,1548,895,603,google_cpc,False
2024-01-02,3494,4928,1654,651,393,305,google_cpc,False
2024-01-02,5357,13045,2683,1023,586,197,direct,False
2024-01-02,3315,6876,2149,1476,794,364,email,False
2024-01-02,1797,3264,1160,476,177,90,organic_search,False
2024-01-03,7201,7279,4840,2170,737,266,google_cpc,False
2024-01-03,805,1503,457,250,146,60,referral,False
2024-01-03,4729,8630,2868,1121,405,166,organic_search,False
2024-01-03,6643,18996,2882,1494,914,358,email,False
