lead_id,created_at,status,revenue,source_campaign,conversion_lag_days,requires_human_review
4cf08b5e-73db-4a6f-94f3-5277282569bb,2024-01-01,closed_lost,,cmp_retarget_002,6,False
3eaa2a4a-3189-4b06-af33-19a6a47730ec,2024-01-01,closed_lost,,cmp_lookalike_004,6,False
63dbf82d-94e2-4835-907b-af13841f453a,2024-01-01,closed_won,13605.75,cmp_retarget_002,5,False
0371ab69-99ad-4b9a-be0e-e528fd04da44,2024-01-01,qualified,,cmp_lookalike_004,2,False
99e009f6-4e1a-459e-a41f-9a9275fb74eb,2024-01-01,closed_lost,,cmp_lookalike_004,3,False
4b6aede9-fa4a-43be-a1e6-cc6f52d27031,2024-01-01,qualified,,cmp_prospecting_003,6,False
e2946217-897e-40a1-b58c-a2ef46c05d5e,2024-01-01,qualified,,cmp_seasonal_005,5,False
2123c92a-64e4-46e3-b303-5c84f3e32742,2024-01-01,new,,cmp_prospecting_003,6,False
fb7bef27-70b6-44aa-931b-8020b3abc377,2024-01-02,qualified,,cmp_lookalike_004,2,False
8c69cf56-6340-48b4-baee-f60d9295cab8,2024-01-02,qualified,,cmp_retarget_002,3,False
6c6bdcfe-b683-4c24-ac7b-eeac479382c3,2024-01-02,qualified,,cmp_brand_001,4,False
b4fd0de0-0ed2-4293-ae7e-2fa1c1e5eaac,2024-01-02,closed_won,14199.51,cmp_retarget_002,3,False
a9c360b0-89e5-465c-9fca-bf1d786c8166,2024-01-02,qualified,,cmp_retarget_002,1,False
cccb2511-a6c2-4558-baf2-8211a7293f92,2024-01-02,new,,cmp_lookalike_004,7,False
952f999f-20d4-4472-a50c-fb3ebba40182,2024-01-02,closed_won,11948.28,cmp_retarget_002,5,False
9d31ebb6-b935-4a73-837f-53978c3c3990,2024-01-02,new,,cmp_lookalike_004,5,False
5bf5b5dd-e369-4ff3-adfe-a291c5ff6a41,2024-01-03,closed_lost,,cmp_lookalike_004,4,False
ebca21d7-af32-4854-bb35-19cc19744a89,2024-01-03,qualified,,cmp_brand_001,5,False
c5e46c65-0b36-41ef-ab96-d0437fcc585c,2024-01-03,closed_lost,,cmp_seasonal_005,3,False
ea8220d2-bf00-49d9-b437-1c9cae520171,2024-01-03,qualified,,cmp_lookalike_004,2,False
98e95b66-6402-46fd-94e4-faaeb9379c99,2024-01-03,qualified,,cmp_lookalike_004,7,False
1b43ee4f-26fe-4da7-bc6e-0564ad003241,2024-01-03,new,,cmp_seasonal_005,2,False
36ef9ca3-4d42-431c-b312-4090e460c7a3,2024-01-03,new,,cmp_retarget_002,7,False
dca3890e-092d-4177-9d84-54104501d341,2024-01-03,closed_won,2476.07,cmp_lookalike_004,5,False
